taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,kingdom,kingdomKey,phylum,phylumKey,class,classKey,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey,iucnRedListCategory
2548311,Trametes versicolor (L.) Lloyd,2548311,Trametes versicolor (L.) Lloyd,1879,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Polyporales,1145,Polyporaceae,3286,Trametes,2519084,Trametes versicolor,2548311,NE
9726177,"Desarmillaria (Herink) R.A.Koch & M.C.Aime, 2017",9726177,"Desarmillaria (Herink) R.A.Koch & M.C.Aime, 2017",1536,GENUS,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Physalacriaceae,4182,Desarmillaria,9726177,,,
5243168,Chlorophyllum molybdites (G.Mey.) Massee,5243168,Chlorophyllum molybdites (G.Mey.) Massee,1257,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Agaricales,1499,Agaricaceae,4170,Chlorophyllum,3268912,Chlorophyllum molybdites,5243168,NE
2553087,Stereum complicatum (Fr.) Fr.,2553087,Stereum complicatum (Fr.) Fr.,1183,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Russulales,1144,Stereaceae,3279,Stereum,2513764,Stereum complicatum,2553087,NE
5249599,Cantharellus cinnabarinus (Schwein.) Schwein.,5249599,Cantharellus cinnabarinus (Schwein.) Schwein.,1164,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Cantharellales,1300,Cantharellaceae,8457,Cantharellus,9623860,Cantharellus cinnabarinus,5249599,LC
5248508,Hericium erinaceus (Bull.) Pers.,5248508,Hericium erinaceus (Bull.) Pers.,1139,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Russulales,1144,Hericiaceae,7612,Hericium,5244571,Hericium erinaceus,5248508,LC
7240044,Lactarius indigo (Schwein.) Fr.,7240044,Lactarius indigo (Schwein.) Fr.,1114,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Russulales,1144,Russulaceae,7609,Lactarius,2532156,Lactarius indigo,7240044,NE
5239478,Clathrus columnatus Bosc,5239478,Clathrus columnatus Bosc,1018,SPECIES,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Phallales,532,Phallaceae,3292,Clathrus,5239475,Clathrus columnatus,5239478,NE
5247390,Hexagonia hydnoides (Sw.) M.Fidalgo,9012872,Cerrena hydnoides (Sw.) Zmitr.,972,SPECIES,SYNONYM,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Polyporales,1145,Polyporaceae,3286,Cerrena,2519998,Cerrena hydnoides,9012872,NE
2519406,Aureoboletus Pouzar,2519406,Aureoboletus Pouzar,967,GENUS,ACCEPTED,Fungi,5,Basidiomycota,34,Agaricomycetes,186,Boletales,1063,Boletaceae,8789,Aureoboletus,2519406,,,NE
